timestamp,AirQualityIndex,CO_(μg/m³),NO_(μg/m³),NO2_(μg/m³),O3_(μg/m³),SO2_(μg/m³),PM2_5_(μg/m³),PM10_(μg/m³),NH3_(μg/m³)
2020-11-27 17:00:00+00:00,4,834.47,4.08,23.65,150.2,44.82,37.87,42.38,0.82
2020-11-27 18:00:00+00:00,4,754.36,2.04,15.08,191.69,41.49,38.62,42.09,0.48
2020-11-27 19:00:00+00:00,3,460.63,1.03,6.34,147.34,22.17,20.17,21.85,0.29
2020-11-27 20:00:00+00:00,3,393.87,0.89,5.36,138.76,18.6,15.48,16.76,0.34
2020-11-27 21:00:00+00:00,3,410.56,0.85,6.0,148.77,20.27,16.12,17.38,0.4
2020-11-27 22:00:00+00:00,3,607.49,2.82,21.94,141.62,30.52,19.25,21.73,1.47
2020-11-27 23:00:00+00:00,3,881.2,4.81,52.78,111.58,39.1,23.04,27.5,3.04
2020-11-28 00:00:00+00:00,3,1041.41,1.51,82.94,64.37,48.64,24.7,31.43,4.81
2020-11-28 01:00:00+00:00,3,1068.12,0.26,87.74,26.11,65.8,22.34,30.41,6.02
2020-11-28 02:00:00+00:00,2,974.66,0.75,78.14,13.41,70.57,19.83,30.11,7.79
2020-11-28 03:00:00+00:00,3,854.49,0.2,65.8,21.28,78.2,20.72,32.75,8.04
2020-11-28 04:00:00+00:00,3,854.49,0.35,63.75,18.95,90.6,22.16,35.13,7.47
2020-11-28 05:00:00+00:00,3,974.66,3.55,68.55,4.47,91.55,23.29,37.43,7.85
2020-11-28 06:00:00+00:00,3,1041.41,11.18,65.12,0.21,85.83,21.94,35.15,7.22
2020-11-28 07:00:00+00:00,3,1001.36,11.51,58.95,0.12,78.2,20.07,32.25,6.4
2020-11-28 08:00:00+00:00,2,974.66,8.16,56.89,0.18,75.34,18.86,30.11,5.83
2020-11-28 09:00:00+00:00,2,1068.12,7.26,61.01,0.14,84.88,19.95,30.86,5.57
2020-11-28 10:00:00+00:00,2,1134.87,6.59,62.38,0.19,99.18,19.03,28.78,5.76
2020-11-28 11:00:00+00:00,2,1161.58,8.38,59.63,0.16,100.14,18.94,29.04,6.33
2020-11-28 12:00:00+00:00,2,1188.28,10.17,57.58,0.13,102.04,19.24,29.7,6.97
2020-11-28 13:00:00+00:00,3,1441.96,20.34,61.01,0.0,114.44,22.82,34.91,7.47
2020-11-28 14:00:00+00:00,4,1869.2,42.92,65.12,3.35,131.61,28.62,43.16,8.99
2020-11-28 15:00:00+00:00,4,2216.34,54.99,76.77,20.56,143.05,39.17,55.81,9.88
2020-11-28 16:00:00+00:00,4,1522.06,15.87,61.01,103.0,101.09,46.79,56.09,2.91
2020-11-28 17:00:00+00:00,5,1655.58,6.76,53.47,223.16,109.67,75.98,84.93,1.28
2020-11-28 18:00:00+00:00,5,1869.2,2.57,33.59,354.77,122.07,108.86,117.81,1.12
2020-11-28 19:00:00+00:00,4,821.11,0.66,7.88,220.3,47.68,42.59,45.99,1.05
2020-11-28 20:00:00+00:00,4,587.46,0.52,5.48,180.24,31.47,28.31,30.5,0.8
2020-11-28 21:00:00+00:00,4,587.46,0.52,5.91,181.68,32.42,28.6,30.7,0.92
2020-11-28 22:00:00+00:00,4,600.82,0.56,7.97,185.97,33.38,30.27,32.42,1.05
2020-11-28 23:00:00+00:00,4,627.52,0.46,14.05,178.81,32.42,31.46,34.14,1.28
2020-11-29 00:00:00+00:00,4,640.87,0.07,20.22,161.65,31.47,32.39,36.41,1.58
2020-11-29 01:00:00+00:00,4,1001.36,0.0,53.47,115.87,56.27,42.09,50.67,4.56
2020-11-29 02:00:00+00:00,5,1441.96,0.0,95.96,59.37,74.39,55.41,71.32,8.61
2020-11-29 03:00:00+00:00,5,1455.31,0.02,101.45,33.62,67.71,60.44,82.4,9.88
2020-11-29 04:00:00+00:00,5,1615.52,4.14,101.45,9.03,53.41,71.04,101.38,11.53
2020-11-29 05:00:00+00:00,5,1976.01,25.03,94.59,0.06,43.39,86.05,123.38,13.05
2020-11-29 06:00:00+00:00,5,2136.23,38.89,85.0,0.0,35.29,90.71,127.58,11.65
2020-11-29 07:00:00+00:00,5,1895.9,28.16,76.08,0.03,31.95,85.78,118.0,10.13
2020-11-29 08:00:00+00:00,5,1628.88,12.07,69.92,0.45,35.29,81.13,108.46,9.25
2020-11-29 09:00:00+00:00,5,1548.77,3.97,67.17,2.21,41.49,81.61,105.22,7.85
2020-11-29 10:00:00+00:00,5,1455.31,0.73,60.32,8.76,48.16,80.12,100.48,7.98
2020-11-29 11:00:00+00:00,5,1308.44,0.16,51.41,16.99,55.79,74.47,92.27,8.87
2020-11-29 12:00:00+00:00,5,1228.33,0.25,52.09,17.88,63.9,69.27,86.15,9.75
2020-11-29 13:00:00+00:00,5,1588.82,13.3,70.6,1.97,73.43,73.95,94.33,10.77
2020-11-29 14:00:00+00:00,5,2189.64,57.22,74.03,1.83,80.11,80.96,105.99,12.92
2020-11-29 15:00:00+00:00,5,2296.45,65.27,80.88,15.91,83.92,80.14,104.94,12.41
2020-11-29 16:00:00+00:00,4,1161.58,10.06,44.55,94.41,87.74,41.29,48.63,2.03
2020-11-29 17:00:00+00:00,4,1054.76,5.14,32.22,158.79,80.11,46.27,52.04,1.38
2020-11-29 18:00:00+00:00,5,1108.17,2.43,22.28,234.6,82.02,63.0,68.55,1.22
2020-11-29 19:00:00+00:00,4,680.92,0.81,7.8,211.72,44.82,41.97,45.38,1.2
2020-11-29 20:00:00+00:00,4,473.98,0.57,5.06,183.11,27.66,31.32,33.94,0.89
2020-11-29 21:00:00+00:00,4,433.92,0.57,5.66,171.66,26.94,29.98,32.38,0.71
2020-11-29 22:00:00+00:00,4,383.85,0.51,6.94,155.93,30.52,27.66,29.83,0.55
2020-11-29 23:00:00+00:00,4,407.22,0.33,11.65,145.91,40.53,27.75,30.06,0.71
2020-11-30 00:00:00+00:00,4,507.36,0.04,19.19,143.05,52.45,30.67,33.64,1.41
2020-11-30 01:00:00+00:00,4,674.25,0.0,27.42,130.18,57.22,33.07,36.67,2.85
2020-11-30 02:00:00+00:00,3,574.11,0.0,23.99,94.41,39.1,24.74,28.43,3.04
2020-11-30 03:00:00+00:00,2,420.57,0.0,17.99,61.51,22.89,17.75,21.53,2.66
2020-11-30 04:00:00+00:00,2,390.53,0.0,17.65,43.27,21.22,15.41,18.88,2.47
2020-11-30 05:00:00+00:00,2,403.88,0.01,20.39,31.47,24.08,14.82,18.4,2.38
2020-11-30 06:00:00+00:00,2,377.18,0.03,20.56,25.75,26.23,14.84,18.09,1.46
2020-11-30 07:00:00+00:00,2,363.83,0.05,21.76,22.89,33.85,16.8,20.18,1.11
2020-11-30 08:00:00+00:00,2,367.17,0.06,22.96,19.85,41.49,18.07,21.05,0.36
2020-11-30 09:00:00+00:00,2,383.85,0.12,23.65,15.2,44.82,18.08,20.72,0.07
2020-11-30 10:00:00+00:00,2,373.84,0.17,22.28,13.05,41.49,16.76,19.05,0.09
2020-11-30 11:00:00+00:00,2,373.84,0.21,21.25,12.34,38.62,15.62,17.78,0.17
2020-11-30 12:00:00+00:00,2,400.54,0.36,22.28,10.46,38.15,15.41,17.74,0.37
2020-11-30 13:00:00+00:00,2,494.0,1.29,26.39,5.9,39.1,15.79,18.59,0.76
2020-11-30 14:00:00+00:00,2,607.49,4.3,31.53,1.81,39.58,16.86,20.34,1.47
2020-11-30 15:00:00+00:00,2,634.19,7.71,31.19,1.13,36.72,15.22,19.07,1.88
2020-11-30 16:00:00+00:00,2,627.52,9.61,27.76,5.32,35.76,13.53,16.91,1.92
2020-11-30 17:00:00+00:00,2,627.52,11.18,23.99,15.91,34.81,12.59,15.63,1.95
2020-11-30 18:00:00+00:00,2,594.14,8.94,22.28,35.05,32.42,12.73,15.55,1.63
2020-11-30 19:00:00+00:00,2,547.41,4.97,19.71,63.66,29.33,15.99,19.37,1.19
2020-11-30 20:00:00+00:00,2,547.41,2.71,18.34,85.83,28.37,19.75,23.44,1.03
2020-11-30 21:00:00+00:00,3,614.17,1.93,20.74,98.71,32.42,22.61,26.54,1.14
2020-11-30 22:00:00+00:00,3,674.25,1.24,24.68,101.57,35.76,24.45,28.56,1.3
2020-11-30 23:00:00+00:00,3,680.92,0.48,30.5,87.98,37.67,23.2,27.07,1.38
2020-12-01 00:00:00+00:00,3,647.54,0.03,34.62,70.81,47.21,21.25,24.88,1.3
2020-12-01 01:00:00+00:00,2,694.28,0.02,47.98,43.99,75.34,18.85,22.94,1.92
2020-12-01 02:00:00+00:00,2,774.38,0.28,61.01,19.85,89.65,18.77,24.56,2.91
2020-12-01 03:00:00+00:00,3,807.76,0.69,61.01,11.8,82.02,20.63,28.43,3.42
2020-12-01 04:00:00+00:00,3,907.9,2.71,63.75,4.65,74.39,23.05,32.25,4.5
2020-12-01 05:00:00+00:00,3,1028.06,8.61,63.75,0.48,67.71,24.39,34.4,4.62
2020-12-01 06:00:00+00:00,3,1054.76,12.29,61.01,0.12,60.08,23.71,33.13,3.33
2020-12-01 07:00:00+00:00,3,1068.12,12.41,59.63,0.17,42.92,23.87,33.74,2.28
2020-12-01 08:00:00+00:00,4,1121.52,12.41,58.26,0.1,28.85,25.69,36.83,1.87
2020-12-01 09:00:00+00:00,4,1241.68,14.19,57.58,0.03,23.13,29.23,41.4,1.68
2020-12-01 10:00:00+00:00,4,1268.39,13.86,53.47,0.12,18.36,31.14,44.47,1.68
2020-12-01 11:00:00+00:00,4,1174.93,12.96,44.55,0.14,15.02,30.69,45.4,1.87
2020-12-01 12:00:00+00:00,4,1174.93,17.21,38.73,0.08,15.5,31.29,48.33,2.47
2020-12-01 13:00:00+00:00,4,1735.69,52.75,41.13,0.0,23.6,46.49,71.67,4.81
2020-12-01 14:00:00+00:00,5,2723.69,121.59,47.98,0.19,32.42,66.48,100.98,8.74
2020-12-01 15:00:00+00:00,5,3364.56,169.87,55.52,1.29,38.62,77.44,117.53,13.43
2020-12-01 16:00:00+00:00,4,1321.79,18.11,55.52,22.53,63.9,27.83,37.7,3.26
2020-12-01 17:00:00+00:00,3,1094.82,7.94,47.98,43.63,57.7,24.72,33.35,3.17
2020-12-01 18:00:00+00:00,3,1028.06,5.09,43.18,61.51,56.27,23.43,32.06,3.33
2020-12-01 19:00:00+00:00,2,680.92,2.57,24.68,80.82,34.33,15.93,21.95,2.19
2020-12-01 20:00:00+00:00,2,467.3,1.45,13.88,88.69,20.74,11.59,15.75,1.36
2020-12-01 21:00:00+00:00,2,427.25,1.19,11.31,92.98,18.12,10.33,13.98,1.25
2020-12-01 22:00:00+00:00,2,407.22,1.15,10.45,92.98,15.97,8.93,12.16,1.22
2020-12-01 23:00:00+00:00,2,377.18,1.03,11.48,81.54,13.23,7.52,10.48,1.24
2020-12-02 00:00:00+00:00,1,347.14,0.26,12.68,67.23,10.49,7.0,9.76,1.2
2020-12-02 01:00:00+00:00,2,761.03,2.57,52.09,19.85,20.5,14.14,22.85,5.13
2020-12-02 02:00:00+00:00,4,1188.28,18.33,65.12,0.19,26.94,25.06,42.38,8.74
2020-12-02 03:00:00+00:00,4,1281.74,24.81,56.21,0.03,25.27,31.69,54.83,9.37
2020-12-02 04:00:00+00:00,4,1321.79,26.38,50.04,0.02,26.23,37.38,64.47,8.74
2020-12-02 05:00:00+00:00,4,1375.2,29.5,47.98,0.01,25.03,40.79,69.28,7.92
2020-12-02 06:00:00+00:00,4,1308.44,27.27,46.61,0.01,19.79,37.08,62.07,5.7
2020-12-02 07:00:00+00:00,4,1134.87,21.23,41.13,0.06,13.11,31.71,52.28,3.83
2020-12-02 08:00:00+00:00,4,1028.06,15.87,35.64,0.14,10.97,30.12,49.06,2.79
2020-12-02 09:00:00+00:00,4,1014.71,13.08,33.24,0.2,11.44,31.95,51.11,2.41
2020-12-02 10:00:00+00:00,4,974.66,10.06,31.19,0.48,11.92,32.06,51.46,2.41
2020-12-02 11:00:00+00:00,4,921.25,8.16,30.16,0.75,12.52,30.06,48.76,2.44
2020-12-02 12:00:00+00:00,4,988.01,13.3,31.19,0.34,14.54,30.65,50.28,2.91
2020-12-02 13:00:00+00:00,4,1735.69,59.01,37.7,0.0,23.13,49.53,78.46,6.02
2020-12-02 14:00:00+00:00,5,3284.45,164.51,49.35,0.37,31.95,81.14,123.11,13.17
2020-12-02 15:00:00+00:00,5,4592.9,246.76,74.71,3.62,39.1,108.64,156.65,18.49
2020-12-02 16:00:00+00:00,2,854.49,8.83,32.56,76.53,43.87,16.33,21.66,1.84
2020-12-02 17:00:00+00:00,2,694.28,4.08,21.76,111.58,35.29,15.47,19.86,1.66
2020-12-02 18:00:00+00:00,3,694.28,2.4,18.17,143.05,36.24,18.82,23.26,1.73
2020-12-02 19:00:00+00:00,3,567.44,1.24,12.0,151.63,27.9,15.52,19.23,1.5
2020-12-02 20:00:00+00:00,3,480.65,0.8,9.77,140.19,21.94,11.87,15.06,1.28
2020-12-02 21:00:00+00:00,3,487.33,0.58,11.14,131.61,22.65,11.12,14.51,1.35
2020-12-02 22:00:00+00:00,3,494.0,0.63,13.2,120.16,22.41,9.97,13.62,1.49
2020-12-02 23:00:00+00:00,2,507.36,0.78,17.48,104.43,21.46,8.66,12.74,1.74
2020-12-03 00:00:00+00:00,2,487.33,0.22,20.91,82.97,18.6,6.76,10.96,1.82
2020-12-03 01:00:00+00:00,2,841.14,0.07,53.47,42.2,33.85,12.39,21.36,4.62
2020-12-03 02:00:00+00:00,3,1188.28,1.69,78.83,10.64,44.82,20.45,35.6,7.54
2020-12-03 03:00:00+00:00,3,1255.04,4.92,75.4,2.41,43.39,24.6,44.17,8.36
2020-12-03 04:00:00+00:00,4,1455.31,15.2,69.23,0.37,41.96,34.62,58.85,10.01
2020-12-03 05:00:00+00:00,4,1762.39,34.87,63.06,0.0,39.1,45.75,75.09,12.03
2020-12-03 06:00:00+00:00,4,1815.8,43.81,56.89,0.0,31.47,44.94,72.89,11.4
2020-12-03 07:00:00+00:00,4,1522.06,33.08,50.04,0.0,26.23,37.6,63.22,12.29
2020-12-03 08:00:00+00:00,4,1281.74,19.67,45.93,0.04,23.84,32.66,55.02,12.03
2020-12-03 09:00:00+00:00,4,1214.98,13.52,43.87,0.11,23.84,31.97,52.0,10.77
2020-12-03 10:00:00+00:00,4,1174.93,9.72,43.18,0.32,23.13,31.81,50.68,11.02
2020-12-03 11:00:00+00:00,4,1094.82,6.93,42.16,0.74,22.65,29.66,47.37,11.02
2020-12-03 12:00:00+00:00,4,1054.76,8.16,41.47,0.7,23.6,27.85,45.09,10.64
2020-12-03 13:00:00+00:00,4,1401.9,31.29,43.53,0.02,29.56,34.62,54.89,11.27
2020-12-03 14:00:00+00:00,4,2029.42,77.78,46.61,0.87,37.19,44.14,68.13,14.57
2020-12-03 15:00:00+00:00,4,2323.15,93.88,57.58,7.96,45.78,49.23,73.93,15.07
2020-12-03 16:00:00+00:00,4,1455.31,16.32,59.63,63.66,86.78,37.4,47.31,3.26
2020-12-03 17:00:00+00:00,4,1375.2,8.27,50.04,131.61,83.92,47.86,56.6,2.06
2020-12-03 18:00:00+00:00,5,1201.63,3.8,32.56,197.41,73.43,51.98,60.14,1.6
2020-12-03 19:00:00+00:00,3,680.92,1.1,14.4,158.79,37.19,22.11,27.48,1.69
2020-12-03 20:00:00+00:00,2,370.5,0.87,7.97,97.28,15.97,5.99,9.03,1.11
2020-12-03 21:00:00+00:00,1,300.41,0.78,7.03,76.53,10.97,3.2,5.28,0.82
2020-12-03 22:00:00+00:00,1,307.08,0.85,8.48,67.95,10.85,3.16,5.29,0.9
2020-12-03 23:00:00+00:00,1,337.12,1.08,11.48,62.23,11.56,3.89,6.52,1.12
2020-12-04 00:00:00+00:00,1,353.81,0.35,14.57,55.08,11.33,4.54,7.5,1.35
2020-12-04 01:00:00+00:00,2,754.36,2.15,50.72,16.45,22.65,11.31,19.82,5.07
2020-12-04 02:00:00+00:00,3,1094.82,12.41,61.69,0.49,30.99,20.33,35.71,8.61
2020-12-04 03:00:00+00:00,4,1161.58,15.65,54.84,0.18,31.47,25.72,45.29,9.75
2020-12-04 04:00:00+00:00,4,1575.47,38.0,51.41,0.01,32.9,43.6,72.26,13.05
2020-12-04 05:00:00+00:00,5,2029.42,66.16,48.67,0.0,30.04,59.54,95.88,14.19
2020-12-04 06:00:00+00:00,5,2082.82,77.78,44.55,0.0,21.94,58.02,92.5,11.02
2020-12-04 07:00:00+00:00,4,1535.42,54.54,35.64,0.0,15.14,40.33,67.36,7.79
2020-12-04 08:00:00+00:00,4,1094.82,30.4,29.82,0.01,13.11,29.5,51.17,6.4
2020-12-04 09:00:00+00:00,4,947.95,20.56,27.42,0.05,14.31,27.78,48.06,5.26
2020-12-04 10:00:00+00:00,4,894.55,15.2,25.71,0.17,15.74,28.22,48.04,4.56
2020-12-04 11:00:00+00:00,4,834.47,12.07,25.02,0.33,15.5,27.24,45.9,3.9
2020-12-04 12:00:00+00:00,4,907.9,16.54,26.05,0.18,16.21,28.43,47.31,4.05
2020-12-04 13:00:00+00:00,4,1668.93,65.27,31.19,0.0,24.8,47.55,75.98,7.09
2020-12-04 14:00:00+00:00,5,3257.75,177.03,42.5,0.27,31.95,79.79,123.12,12.41
2020-12-04 15:00:00+00:00,5,4486.08,257.49,65.8,2.95,38.15,104.03,154.35,17.73
2020-12-04 16:00:00+00:00,4,1108.17,14.19,44.55,57.94,56.74,26.57,34.64,2.15
2020-12-04 17:00:00+00:00,4,961.3,6.09,33.93,103.0,51.5,28.43,35.91,1.95
2020-12-04 18:00:00+00:00,4,847.82,2.99,23.99,138.76,47.21,27.01,34.6,2.15
2020-12-04 19:00:00+00:00,2,494.0,1.01,11.48,114.44,24.08,11.79,16.06,1.3
2020-12-04 20:00:00+00:00,2,320.44,0.94,6.77,83.69,12.4,4.81,7.12,0.78
2020-12-04 21:00:00+00:00,1,287.06,0.99,5.83,75.82,10.25,3.75,5.55,0.67
2020-12-04 22:00:00+00:00,1,297.07,1.2,6.94,73.67,10.73,4.07,6.06,0.8
2020-12-04 23:00:00+00:00,1,330.45,1.36,10.37,67.23,11.68,4.88,7.31,1.03
2020-12-05 00:00:00+00:00,1,347.14,0.41,14.22,55.79,11.44,5.71,8.41,1.19
2020-12-05 01:00:00+00:00,2,587.46,0.1,34.96,33.26,22.65,10.12,16.08,3.14
2020-12-05 02:00:00+00:00,2,807.76,0.62,50.04,15.02,31.95,15.63,25.54,5.13
2020-12-05 03:00:00+00:00,2,894.55,1.3,52.78,8.67,35.29,19.78,32.6,6.14
2020-12-05 04:00:00+00:00,4,1535.42,29.5,59.63,0.22,37.67,42.83,68.69,12.16
2020-12-05 05:00:00+00:00,5,2269.75,73.31,58.95,0.0,34.33,69.48,110.01,14.69
2020-12-05 06:00:00+00:00,5,2536.77,95.67,54.15,0.0,25.51,76.34,121.53,9.88
2020-12-05 07:00:00+00:00,5,1895.9,67.95,42.5,0.0,20.27,57.05,95.25,7.16
2020-12-05 08:00:00+00:00,4,1281.74,36.66,35.64,0.01,22.89,40.64,70.22,7.85
2020-12-05 09:00:00+00:00,4,1054.76,22.35,33.93,0.04,27.42,35.47,60.17,8.61
2020-12-05 10:00:00+00:00,4,907.9,12.74,32.9,0.33,30.28,31.93,52.67,8.99
2020-12-05 11:00:00+00:00,4,767.71,6.71,31.19,1.14,30.04,27.46,44.47,8.74
2020-12-05 12:00:00+00:00,4,747.68,7.6,30.85,1.07,30.04,25.67,40.83,8.99
2020-12-05 13:00:00+00:00,4,1268.39,39.79,34.96,0.02,43.87,37.56,59.7,14.69
2020-12-05 14:00:00+00:00,5,2376.56,114.44,45.24,0.72,63.9,59.37,94.78,24.32
2020-12-05 15:00:00+00:00,5,3311.16,168.09,70.6,5.9,66.76,81.39,124.72,26.6
2020-12-05 16:00:00+00:00,2,761.03,7.6,31.53,54.36,33.85,17.68,24.11,2.82
2020-12-05 17:00:00+00:00,2,567.44,3.05,19.54,72.24,26.94,12.53,17.39,1.87
2020-12-05 18:00:00+00:00,2,500.68,1.63,15.77,80.82,25.03,10.78,15.16,1.58
2020-12-05 19:00:00+00:00,1,333.79,0.76,8.48,74.39,13.95,5.63,8.18,0.86
2020-12-05 20:00:00+00:00,1,243.66,0.54,5.18,65.09,7.87,3.1,4.55,0.51
2020-12-05 21:00:00+00:00,1,230.31,0.47,4.71,60.8,6.74,2.91,4.04,0.43
2020-12-05 22:00:00+00:00,1,230.31,0.53,4.93,58.65,6.5,3.29,4.56,0.47
2020-12-05 23:00:00+00:00,1,243.66,0.69,6.68,57.22,7.09,3.48,5.03,0.63
2020-12-06 00:00:00+00:00,1,257.02,0.23,8.91,52.21,7.45,3.25,5.01,0.79
2020-12-06 01:00:00+00:00,1,340.46,0.0,15.08,43.99,12.76,4.45,7.4,1.47
2020-12-06 02:00:00+00:00,1,420.57,0.01,19.71,37.19,17.88,6.16,10.48,2.19
2020-12-06 03:00:00+00:00,1,460.63,0.01,21.59,33.26,21.22,7.45,12.75,2.6
2020-12-06 04:00:00+00:00,2,794.41,1.93,42.5,12.34,28.37,18.21,29.4,6.08
2020-12-06 05:00:00+00:00,4,1214.98,16.09,53.47,0.21,28.85,31.78,49.96,9.12
2020-12-06 06:00:00+00:00,4,1308.44,26.82,47.98,0.0,20.98,33.18,52.29,7.54
2020-12-06 07:00:00+00:00,4,1134.87,24.81,36.33,0.01,14.42,29.53,49.8,7.22
2020-12-06 08:00:00+00:00,4,988.01,18.77,29.82,0.04,12.28,28.24,48.51,7.28
2020-12-06 09:00:00+00:00,4,921.25,13.86,28.1,0.11,12.4,28.23,46.64,6.4
2020-12-06 10:00:00+00:00,4,854.49,9.84,27.42,0.32,12.28,27.28,43.82,6.46
2020-12-06 11:00:00+00:00,3,794.41,7.38,26.73,0.65,12.4,24.81,39.95,5.83
2020-12-06 12:00:00+00:00,3,821.11,10.17,26.73,0.44,13.35,23.63,38.54,5.13
2020-12-06 13:00:00+00:00,4,1308.44,42.02,29.47,0.01,18.6,34.46,55.43,7.47
2020-12-06 14:00:00+00:00,5,2403.26,118.02,36.33,0.5,25.27,55.86,86.6,13.17
2020-12-06 15:00:00+00:00,5,3311.16,173.45,56.89,4.47,32.42,74.64,110.97,15.2
2020-12-06 16:00:00+00:00,2,894.55,10.84,32.22,61.51,53.41,16.53,22.01,2.28
2020-12-06 17:00:00+00:00,3,801.09,4.86,26.05,103.0,48.16,21.08,25.93,1.84
2020-12-06 18:00:00+00:00,4,841.14,2.4,22.96,141.62,51.5,28.48,33.56,1.84
2020-12-06 19:00:00+00:00,3,620.84,1.19,12.85,140.19,35.29,19.62,23.53,1.58
2020-12-06 20:00:00+00:00,2,403.88,0.8,6.68,114.44,19.31,10.53,13.25,1.03
2020-12-06 21:00:00+00:00,2,327.11,0.75,5.4,98.71,13.95,7.08,9.28,0.86
2020-12-06 22:00:00+00:00,2,300.41,0.8,5.91,85.12,11.68,5.44,7.38,0.86
2020-12-06 23:00:00+00:00,1,293.73,0.81,8.31,70.1,10.61,4.36,6.35,0.99
2020-12-07 00:00:00+00:00,1,287.06,0.23,10.8,54.36,9.42,3.33,5.44,1.11
2020-12-07 01:00:00+00:00,1,320.44,0.0,13.88,44.35,11.09,3.46,6.07,1.47
2020-12-07 02:00:00+00:00,1,360.49,0.01,16.11,38.98,13.71,4.14,7.48,1.84
2020-12-07 03:00:00+00:00,1,383.85,0.01,16.97,36.48,15.5,4.63,8.55,2.06
2020-12-07 04:00:00+00:00,1,494.0,0.02,23.65,30.76,24.08,6.56,11.23,2.88
2020-12-07 05:00:00+00:00,1,640.87,0.08,33.24,22.53,34.81,8.99,14.65,3.74
2020-12-07 06:00:00+00:00,2,680.92,0.16,37.01,16.99,37.67,10.15,15.69,3.52
2020-12-07 07:00:00+00:00,2,634.19,0.28,33.59,13.95,36.24,10.51,16.1,3.01
2020-12-07 08:00:00+00:00,2,600.82,0.27,30.16,12.52,40.05,10.81,16.12,2.41
2020-12-07 09:00:00+00:00,2,627.52,0.36,30.85,10.28,49.59,12.26,17.22,1.6
2020-12-07 10:00:00+00:00,2,627.52,0.42,30.5,9.3,58.17,13.74,18.24,0.72
2020-12-07 11:00:00+00:00,2,587.46,0.43,29.13,9.92,65.8,14.73,18.47,0.13
2020-12-07 12:00:00+00:00,2,554.09,0.42,29.47,11.62,70.57,15.11,18.24,0.0
2020-12-07 13:00:00+00:00,2,560.76,0.61,32.9,12.52,72.48,16.51,19.61,0.0
2020-12-07 14:00:00+00:00,2,634.19,2.24,40.1,8.32,73.43,18.46,22.05,0.01
2020-12-07 15:00:00+00:00,2,694.28,6.82,40.44,9.66,73.43,19.59,23.62,0.23
2020-12-07 16:00:00+00:00,2,674.25,8.49,33.93,20.03,62.94,18.68,22.39,0.32
2020-12-07 17:00:00+00:00,2,700.95,10.73,30.5,36.48,59.61,19.6,23.25,0.44
2020-12-07 18:00:00+00:00,3,714.3,9.05,29.47,67.23,57.7,22.12,25.63,0.34
2020-12-07 19:00:00+00:00,4,594.14,4.53,21.08,105.86,47.21,25.1,28.03,0.01
2020-12-07 20:00:00+00:00,4,540.73,2.35,16.62,125.89,43.39,28.13,30.96,0.0
2020-12-07 21:00:00+00:00,4,560.76,1.5,16.45,135.9,43.87,30.1,32.94,0.0
2020-12-07 22:00:00+00:00,4,540.73,0.83,17.48,130.18,43.39,28.87,31.64,0.0
2020-12-07 23:00:00+00:00,4,520.71,0.33,21.25,113.01,43.87,26.5,29.24,0.0
2020-12-08 00:00:00+00:00,3,527.38,0.03,25.36,95.84,46.73,24.67,27.48,0.01
2020-12-08 01:00:00+00:00,3,554.09,0.0,28.45,74.39,48.64,21.3,24.22,0.57
2020-12-08 02:00:00+00:00,2,547.41,0.0,30.85,51.5,45.3,17.36,20.84,1.33
2020-12-08 03:00:00+00:00,2,514.03,0.01,31.53,37.91,41.49,15.14,19.53,1.57
2020-12-08 04:00:00+00:00,2,480.65,0.02,31.19,32.19,44.82,12.85,16.51,1.28
2020-12-08 05:00:00+00:00,2,500.68,0.05,32.56,26.82,49.11,12.27,15.62,1.12
2020-12-08 06:00:00+00:00,2,540.73,0.08,34.96,22.71,52.93,13.52,16.78,0.92
2020-12-08 07:00:00+00:00,2,694.28,0.55,44.55,11.18,46.73,17.91,22.77,1.27
2020-12-08 08:00:00+00:00,3,841.14,2.6,51.41,1.7,37.19,22.88,29.84,1.3
2020-12-08 09:00:00+00:00,4,934.6,6.48,50.04,0.11,31.47,27.26,35.1,1.19
2020-12-08 10:00:00+00:00,4,947.95,8.27,45.93,0.11,30.28,30.59,37.73,1.35
2020-12-08 11:00:00+00:00,4,947.95,9.5,43.53,0.09,30.99,33.94,40.03,1.44
2020-12-08 12:00:00+00:00,4,1028.06,13.64,43.53,0.03,34.81,38.63,44.31,1.66
2020-12-08 13:00:00+00:00,4,1321.79,24.14,49.35,0.01,73.43,48.9,55.39,0.6
2020-12-08 14:00:00+00:00,5,1762.39,47.39,52.78,0.13,88.69,58.99,68.68,1.43
2020-12-08 15:00:00+00:00,5,2056.12,60.8,57.58,2.01,102.04,66.02,78.74,1.73
2020-12-08 16:00:00+00:00,5,1842.5,37.1,69.92,11.36,103.95,64.89,75.97,0.18
2020-12-08 17:00:00+00:00,5,1922.61,26.82,83.63,31.47,116.35,71.71,82.22,0.0
2020-12-08 18:00:00+00:00,5,2056.12,18.77,97.33,73.67,146.87,88.05,97.87,0.0
2020-12-08 19:00:00+00:00,4,1068.12,5.42,41.81,118.73,74.39,49.91,54.94,0.0
2020-12-08 20:00:00+00:00,4,707.63,1.82,21.42,135.9,43.87,33.91,37.89,0.0
2020-12-08 21:00:00+00:00,4,587.46,0.86,15.42,137.33,31.95,28.51,32.22,0.0
2020-12-08 22:00:00+00:00,4,507.36,0.52,16.11,118.73,35.29,26.41,30.27,0.0
